timestamp,hr
1629880722000,71.33
1629880723000,71.22
1629880724000,71.1
1629880725000,71.02
1629880726000,70.93
1629880727000,70.85
1629880728000,70.75
1629880729000,70.67
1629880730000,70.67
1629880731000,70.52
1629880732000,70.68
1629880733000,70.9
1629880734000,71.15
1629880735000,71.4
1629880736000,71.68
1629880737000,71.98
1629880738000,72.18
1629880739000,72.38
1629880740000,72.58
1629880741000,72.78
1629880742000,73.0
1629880743000,73.22
1629880744000,73.52
1629880745000,73.85
1629880746000,74.18
1629880747000,74.03
1629880748000,73.97
1629880749000,74.42
1629880750000,74.85
1629880751000,75.3
1629880752000,75.57
1629880753000,75.85
1629880754000,76.12
1629880755000,76.4
1629880756000,76.72
1629880757000,77.02
1629880758000,77.27
1629880759000,77.47
1629880760000,77.63
1629880761000,77.82
1629880762000,77.92
1629880763000,78.03
1629880764000,78.1
1629880765000,78.18
1629880766000,78.27
1629880767000,78.37
1629880768000,78.75
1629880769000,79.05
1629880770000,79.5
1629880771000,79.82
1629880772000,80.15
1629880773000,80.58
1629880774000,80.95
1629880775000,81.38
1629880776000,81.85
1629880777000,82.32
1629880778000,82.62
1629880779000,82.93
1629880780000,83.25
1629880781000,83.63
1629880782000,83.9
1629880783000,84.2
1629880784000,84.47
1629880785000,84.6
1629880786000,84.75
1629880787000,84.92
1629880788000,85.08
1629880789000,85.17
1629880790000,85.13
1629880791000,85.25
1629880792000,85.08
1629880793000,84.9
1629880794000,84.73
1629880795000,84.57
1629880796000,84.37
1629880797000,84.2
1629880798000,84.33
1629880799000,84.5
1629880800000,84.68
1629880801000,84.8
1629880802000,84.92
1629880803000,85.0
1629880804000,84.95
1629880805000,84.88
1629880806000,84.78
1629880807000,84.58
1629880808000,84.3
1629880809000,83.85
1629880810000,83.35
1629880811000,82.68
1629880812000,82.03
1629880813000,81.37
1629880814000,80.72
1629880815000,80.07
1629880816000,79.37
1629880817000,78.68
1629880818000,77.98
1629880819000,77.32
1629880820000,76.67
1629880821000,76.0
1629880822000,75.4
1629880823000,74.77
1629880824000,74.17
1629880825000,73.53
1629880826000,73.07
1629880827000,72.72
1629880828000,72.42
1629880829000,72.15
1629880830000,71.78
1629880831000,71.42
1629880832000,71.08
1629880833000,70.75
1629880834000,70.35
1629880835000,69.93
1629880836000,69.45
1629880837000,68.82
1629880838000,68.33
1629880839000,67.85
1629880840000,67.3
1629880841000,66.7
1629880842000,66.28
1629880843000,65.88
1629880844000,65.47
1629880845000,65.2
1629880846000,64.97
1629880847000,64.67
1629880848000,64.32
1629880849000,64.27
1629880850000,64.27
1629880851000,64.32
1629880852000,64.4
1629880853000,64.5
1629880854000,64.47
1629880855000,64.4
1629880856000,64.33
1629880857000,64.27
1629880858000,63.92
1629880859000,63.53
1629880860000,63.05
1629880861000,62.58
1629880862000,62.13
1629880863000,61.72
1629880864000,61.37
1629880865000,61.02
1629880866000,60.72
1629880867000,60.48
1629880868000,60.35
1629880869000,60.3
1629880870000,60.35
1629880871000,60.6
1629880872000,60.85
1629880873000,61.05
1629880874000,61.23
1629880875000,61.42
1629880876000,61.75
1629880877000,62.07
1629880878000,62.42
1629880879000,62.73
1629880880000,63.0
1629880881000,63.28
1629880882000,63.45
1629880883000,63.75
1629880884000,64.05
1629880885000,64.43
1629880886000,64.68
1629880887000,64.83
1629880888000,64.93
1629880889000,64.98
1629880890000,65.02
1629880891000,65.07
1629880892000,65.07
1629880893000,65.07
1629880894000,65.13
1629880895000,65.07
1629880896000,65.07
1629880897000,65.25
1629880898000,65.48
1629880899000,65.77
1629880900000,66.13
1629880901000,66.52
1629880902000,66.85
1629880903000,67.3
1629880904000,67.63
1629880905000,67.95
1629880906000,68.22
1629880907000,68.53
1629880908000,68.9
1629880909000,69.03
1629880910000,69.25
1629880911000,69.38
1629880912000,69.47
1629880913000,69.52
1629880914000,69.48
1629880915000,69.5
1629880916000,69.52
1629880917000,69.5
1629880918000,69.52
1629880919000,69.52
1629880920000,69.57
1629880921000,69.63
1629880922000,69.83
1629880923000,70.07
1629880924000,70.35
1629880925000,70.58
1629880926000,70.8
1629880927000,71.05
1629880928000,71.27
1629880929000,71.45
1629880930000,71.6
1629880931000,71.65
1629880932000,71.75
1629880933000,71.87
1629880934000,71.92
1629880935000,71.98
1629880936000,71.73
1629880937000,71.5
1629880938000,71.42
1629880939000,71.35
1629880940000,71.4
1629880941000,71.43
1629880942000,71.53
1629880943000,71.53
1629880944000,71.55
1629880945000,71.48
1629880946000,71.45
1629880947000,71.37
1629880948000,71.28
1629880949000,71.18
1629880950000,71.12
1629880951000,71.03
1629880952000,70.98
1629880953000,70.93
1629880954000,70.9
1629880955000,71.07
1629880956000,71.2
1629880957000,71.3
1629880958000,71.35
1629880959000,71.37
1629880960000,71.35
1629880961000,71.35
1629880962000,71.28
1629880963000,71.13
1629880964000,71.1
1629880965000,71.07
1629880966000,71.05
1629880967000,71.03
1629880968000,71.0
1629880969000,70.95
1629880970000,70.87
1629880971000,70.83
1629880972000,70.8
1629880973000,70.77
1629880974000,70.85
1629880975000,70.93
1629880976000,71.0
1629880977000,71.02
1629880978000,71.07
1629880979000,71.12
1629880980000,71.13
1629880981000,71.18
1629880982000,71.03
1629880983000,70.83
1629880984000,70.53
1629880985000,70.33
1629880986000,70.15
1629880987000,69.93
1629880988000,69.7
1629880989000,69.47
1629880990000,69.23
1629880991000,69.05
1629880992000,68.82
1629880993000,68.65
1629880994000,68.57
1629880995000,68.45
1629880996000,68.55
1629880997000,68.68
1629880998000,68.7
1629880999000,68.75
1629881000000,68.7
1629881001000,68.65
1629881002000,68.6
1629881003000,68.58
1629881004000,68.57
1629881005000,68.55
1629881006000,68.48
1629881007000,68.45
1629881008000,68.52
1629881009000,68.57
1629881010000,68.67
1629881011000,68.68
1629881012000,68.68
1629881013000,68.68
1629881014000,68.68
1629881015000,68.67
1629881016000,68.65
1629881017000,68.65
1629881018000,68.68
1629881019000,68.55
1629881020000,68.42
1629881021000,68.25
1629881022000,68.03
1629881023000,67.82
1629881024000,67.63
1629881025000,67.42
1629881026000,67.17
1629881027000,66.97
1629881028000,66.83
1629881029000,66.82
1629881030000,66.77
1629881031000,66.73
1629881032000,66.67
1629881033000,66.62
1629881034000,66.57
1629881035000,66.47
1629881036000,66.37
1629881037000,66.27
1629881038000,66.13
1629881039000,66.03
1629881040000,66.13
1629881041000,66.18
1629881042000,66.23
1629881043000,66.27
1629881044000,66.53
1629881045000,66.73
1629881046000,66.93
1629881047000,67.15
1629881048000,67.35
1629881049000,67.57
1629881050000,67.78
1629881051000,68.0
1629881052000,68.23
1629881053000,68.45
1629881054000,68.65
1629881055000,68.88
1629881056000,69.1
1629881057000,69.32
1629881058000,69.45
1629881059000,69.55
1629881060000,69.72
1629881061000,69.87
1629881062000,70.28
1629881063000,70.57
1629881064000,70.77
1629881065000,71.0
1629881066000,71.23
1629881067000,71.48
1629881068000,71.68
1629881069000,71.92
1629881070000,72.12
1629881071000,72.4
1629881072000,72.67
1629881073000,72.93
1629881074000,73.13
1629881075000,73.37
1629881076000,73.58
1629881077000,73.57
1629881078000,73.48
1629881079000,73.53
1629881080000,73.65
1629881081000,73.78
1629881082000,73.97
1629881083000,74.13
1629881084000,74.28
1629881085000,74.63
1629881086000,74.97
1629881087000,75.27
1629881088000,75.52
1629881089000,75.63
1629881090000,75.82
1629881091000,75.93
1629881092000,76.0
1629881093000,76.03
1629881094000,76.12
